id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,fixtureName
531932,14,MissedShots,0.86,0.635,0.05805481970310211,Luca Koleosho,h,10620,OpenPlay,2023,RightFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Vitinho,Pass,Burnley v Manchester City
531933,17,SavedShot,0.8859999847412109,0.6719999694824219,0.06125757470726967,Zeki Amdouni,h,11701,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Luca Koleosho,Pass,Burnley v Manchester City
531934,28,MissedShots,0.87,0.750999984741211,0.01711176335811615,Lyle Foster,h,7498,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,,TakeOn,Burnley v Manchester City
531936,36,BlockedShot,0.86,0.455,0.09761640429496765,Lyle Foster,h,7498,OpenPlay,2023,RightFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Luca Koleosho,Pass,Burnley v Manchester City
531947,79,BlockedShot,0.8169999694824219,0.5359999847412109,0.0639837458729744,Anass Zaroury,h,11703,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Lyle Foster,Pass,Burnley v Manchester City
531948,81,MissedShots,0.9580000305175781,0.37599998474121094,0.013008161447942257,Jacob Bruun Larsen,h,5355,FromCorner,2023,Head,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Anass Zaroury,Aerial,Burnley v Manchester City
531929,3,Goal,0.9369999694824219,0.5059999847412109,0.5058456659317017,Erling Haaland,a,8260,FromCorner,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Rodri,HeadPass,Burnley v Manchester City
531930,5,MissedShots,0.7190000152587891,0.3890000152587891,0.01889444887638092,Kevin De Bruyne,a,447,OpenPlay,2023,RightFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Phil Foden,Pass,Burnley v Manchester City
531931,10,MissedShots,0.9519999694824218,0.4209999847412109,0.13024680316448212,Erling Haaland,a,8260,OpenPlay,2023,RightFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Kevin De Bruyne,Cross,Burnley v Manchester City
531935,35,Goal,0.8909999847412109,0.385,0.11321365833282471,Erling Haaland,a,8260,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Julián Álvarez,Pass,Burnley v Manchester City
531937,45,SavedShot,0.8980000305175782,0.48200000762939454,0.16869960725307465,Phil Foden,a,6055,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Mateo Kovacic,TakeOn,Burnley v Manchester City
531938,51,BlockedShot,0.9440000152587891,0.6819999694824219,0.13275626301765442,Erling Haaland,a,8260,OpenPlay,2023,LeftFoot,22275,Burnley,Manchester City,0,3,2023-08-11 19:00:00,Julián Álvarez,Throughball,Burnley v Manchester City
